name,date,date_range,location,image_link,description
Nicolas-Joseph Cugnot,1769,1769,,,"Nicolas-Joseph Cugnot invents the first steam-powered vehicle capable of carrying passengers, an early car"
John Wilkinson,1774,1774,,,"John Wilkinson invents his boring machine, considered by some to be the first machine tool"
Jesse Ramsden,1775,1775,,,Jesse Ramsden invents the modern screw-cutting lathe
John Wilkinson,1776,1776,,,John Wilkinson invents a mechanical air compressor that would become the prototype for all later mechanical compressors
Hyder Ali,1780,1780,,,"Hyder Ali of Mysore, India develops the first metal-cylinder rockets."
Claude de Jouffroy,1783,1783,,,Claude de Jouffroy builds the first steamboat
Joseph-Ralf,1783,1783,,,Joseph-Ralf and Jacques-Étienne Montgolfier build the first manned hot air balloon
Louis-Sébastien Lenormand,1783,1783,,,Louis-Sébastien Lenormand invents and uses the first modern parachute
Martinus van Marum,1785,1785,,,Martinus van Marum is the first to use the electrolysis technique
Andrew Meikle,1786,1786,,,Andrew Meikle invents the threshing machine
Edmund Cartwright,1789,1789,,,Edmund Cartwright invents the power loom
Claude Chappe,1792,1792,,,Claude Chappe invents the semaphore telegraph
Eli Whitney,1793,1793,,,Eli Whitney invents the modern cotton gin
Joseph Bramah,1795,1795,,,Joseph Bramah invents the hydraulic press
Alois Senefelder,1796,1796,,,Alois Senefelder invents the lithography printing technique.
vaccine,1796,1796,,,Edward Jenner invented the vaccine and inoculates an individual for smallpox
paper machine,1799,1799,,,The first paper machine is invented by Louis-Nicolas Robert
Alessandro Volta,1800,1800,Italy,,"Alessandro Volta invents the voltaic pile, an early form of battery in Italy, based on previous works by Luigi Galvani."
Humphry Davy,1802,1802,,,Humphry Davy invents the arc lamp (exact date unclear; not practical as a light source until the invention of efficient electric generators).
Friedrich Sertürner,1804,1804,,,Friedrich Sertürner discovers morphine as the first active alkaloid extracted from the opium poppy plant.
Joseph Marie Jacquard,1804,1804,,,Joseph Marie Jacquard develops his automated Jacquard loom.
Richard Trevithick,1804,1804,,,Richard Trevithick invents the steam locomotive.
Hanaoka Seishū,1804,1804,,,"Hanaoka Seishū creates tsūsensan, the first modern general anesthetic."
Nicéphore Niépce,1807,1807,,,Nicéphore Niépce invents an early internal combustion engine capable of doing useful work.
François Isaac de Rivaz,1807,1807,,,François Isaac de Rivaz designs the first automobile powered by an internal combustion engine fuelled by hydrogen.
Robert Fulton,1807,1807,,,Robert Fulton expands water transportation and trade with the workable steamboat.
Nicolas Appert,1810,1810,,,Nicolas Appert invents the canning process for food.
Abraham-Louis Breguet,1810,1810,,,Abraham-Louis Breguet creates the first wristwatch.
Friedrich Koenig,1811,1811,,,"Friedrich Koenig invents the first powered printing press, which was also the first to use a cylinder."
William Reid Clanny,1812,1812,,,William Reid Clanny pioneered the invention of the safety lamp which he improved in later years. Safety lamps based on Clanny's improved design were used until the adoption of electric lamps.
James Fox,1814,1814,,,"James Fox invents the modern planing machine, though Matthew Murray of Leeds and Richard Roberts of Manchester have also been credited at times with its invention."
René Laennec,1816,1816,,,René Laennec invents the first Stethoscope.
Francis Ronalds,1816,1816,,,Francis Ronalds builds the first working electric telegraph using electrostatic means.
Robert Stirling,1816,1816,,,Robert Stirling invents the Stirling engine.
Karl von Drais,1817,1817,,,"Baron Karl von Drais invents the dandy horse, an early velocipede and precursor to the modern bicycle."
Marc Isambard Brunel,1818,1818,,,Marc Isambard Brunel invents the tunnelling shield.
Thomas Blanchard,1822,1822,,,"Thomas Blanchard invents the pattern-tracing lathe (actually more like a shaper). The lathe can copy symmetrical shapes and is used for making gun stocks, and later, ax handles."
Nicéphore Niépce,1822,1822,,,"Nicéphore Niépce invents Heliography, the first photographic process."
Charles Babbage,1822,1822,,,"Charles Babbage, considered the ""father of the computer"", begins building the first programmable mechanical computer."
Johann Wolfgang Döbereiner,1823,1823,,,Johann Wolfgang Döbereiner invents the first lighter.
Johann Nikolaus von Dreyse,1824,1824,,,Johann Nikolaus von Dreyse invents the bolt-action rifle.
William Sturgeon,1824,1824,,,William Sturgeon invents the electromagnet.
John Walker,1826,1826,,,John Walker invents the friction match.
gas stove,1826,1826,,,James Sharp invents and goes on to manufacture the first practical gas stove.
James Beaumont Neilson,1828,1828,,,James Beaumont Neilson develops the hot blast process.
Patrick Bell,1828,1828,,,Patrick Bell invents the reaping machine.
Ányos Jedlik,1828,1828,,,Hungarian physicist Ányos Jedlik invents the first commutated rotary electromechanical machine with electromagnets.
Louis Braille,1829,1829,,,Louis Braille invents the Braille reading system for the blind.
air compressor,1829,1829,,,William Mann invents the compound air compressor.
Henry Robinson Palmer,1829,1829,,,Henry Robinson Palmer is awarded a patent for corrugated galvanised iron.
Edwin Budding,1830,1830,,,Edwin Budding invents the lawn mower.
Michael Faraday,1831,1831,,,Michael Faraday invents a method of electromagnetic induction. It would be independently invented by Joseph Henry the following year. Faraday is credited with inventing the first electric generator called the Faraday disk.
Charles Babbage,1833,1833,,,"Charles Babbage introduces his ""mechanical calculating machine"", the first mechanical computer"
Moritz von Jacobi,1834,1834,,,Moritz von Jacobi invents the first practical electric motor.
Joseph Henry,1835,1835,,,Joseph Henry invents the electromechanical relay.
Samuel Morse,1837,1837,,,Samuel Morse invents Morse code.
Moritz von Jacobi,1838,1838,,,Moritz von Jacobi invents electrotyping.
William Otis,1839,1839,,,William Otis invents the steam shovel.
James Nasmyth,1839,1839,,,James Nasmyth invents the steam hammer.
Edmond Becquerel,1839,1839,,,"Edmond Becquerel invents a method for the photovoltaic effect, effectively producing the first solar cell."
Charles Goodyear,1839,1839,,,Charles Goodyear invents vulcanized rubber.
Louis Daguerre,1839,1839,,,Louis Daguerre invents daguerreotype photography.
Kirkpatrick Macmillan,1839,1839,,,Kirkpatrick Macmillan invents the first bicycle
John Herschel,1840,1840,,,John Herschel invents the blueprint.
Alexander Bain,1841,1841,,,Alexander Bain devises a printing telegraph.
William Robert Grove,1842,1842,,,William Robert Grove invents the first fuel cell.
John Bennet Lawes,1842,1842,,,"John Bennet Lawes invents superphosphate, the first man-made fertilizer."
Friedrich Gottlob Keller,1844,1844,,,"Friedrich Gottlob Keller and, independently, Charles Fenerty come up with the wood pulp method of paper production."
Francis Rynd,1844,1844,,,Francis Rynd invents the hypodermic needle.
Horace Wells,1844,1844,,,Horace Wells successfully used nitrous oxide as an anesthesia
Isaac Charles Johnson,1845,1845,,,Isaac Charles Johnson invents modern Portland cement.
tunnel boring machine,1846,1846,,,Henri-Joseph Maus invents the tunnel boring machine.
Elias Howe,1846,1846,,,"Elias Howe received a patent for a sewing machine, the model for the Singer Sewing Machine"
Ascanio Sobrero,1847,1847,,,"Ascanio Sobrero invents nitroglycerin, the first explosive made that was stronger than black powder."
pneumatic drill,1848,1848,,,Jonathan J. Couch invents the pneumatic drill.
Linus Yale Sr.,1848,1848,,,Linus Yale Sr. invents the first modern pin tumbler lock.
Walter Hunt,1849,1849,,,Walter Hunt invents the first repeating rifle to use metallic cartridges (of his own design) and a spring-fed magazine.
James B. Francis,1849,1849,,,James B. Francis invents the Francis turbine.
William Armstrong,1850,1850,,,William Armstrong invents the hydraulic accumulator.
George Jennings,1851,1851,,,"George Jennings offers the first public flush toilets, accessible for a penny per visit, and in 1852 receives a UK patent for the single piece, free standing, earthenware, trap plumed, flushing, water-closet."
Robert Bunsen,1852,1852,,,Robert Bunsen is the first to use a chemical vapor deposition technique.
Elisha Otis,1852,1852,,,Elisha Otis invents the safety brake elevator.
Henri Giffard,1852,1852,,,"Henri Giffard becomes the first person to make a manned, controlled and powered flight using a dirigible."
reinforced concrete,1853,1853,,,François Coignet invents reinforced concrete.
James Clerk Maxwell,1855,1855,,,"James Clerk Maxwell invents the first practical method for color photography, whether chemical or electronic."
Henry Bessemer,1855,1855,,,"Henry Bessemer patents the Bessemer process for making steel, with improvements made by others over the following years."
Alexander Parkes,1856,1856,,,"Alexander Parkes invents parkesine, also known as celluloid, the first man-made plastic."
James Harrison,1856,1856,Geelong,,"James Harrison produces the world's first practical ice making machine and refrigerator using the principle of vapour compression in Geelong, Australia."
William Henry Perkin,1856,1856,,,"William Henry Perkin invents mauveine, the first synthetic dye."
Heinrich Geissler,1857,1857,,,Heinrich Geissler invents the Geissler tube.
phonautograph,1857,1857,,,"The phonautograph, the earliest known device for recording sound, is patented and invented by Frenchman Édouard-Léon Scott de Martinville."
Gaston Planté,1859,1859,,,"Gaston Planté invents the lead acid battery, the first rechargeable battery."
Joseph Swan,1860,1860,,,Joseph Swan produces carbon fibers.
Richard Jordan Gatling,1862,1862,,,"Richard Jordan Gatling invents the Gatling gun, the first multi-barrel rapid-fire gun."
Louis Pasteur,1864,1864,,,Louis Pasteur invents the pasteurization process.
Carl Wilhelm Siemens,1865,1865,,,Carl Wilhelm Siemens and Pierre-Émile Martin invent the Siemens-Martin process for making steel.
Alfred Nobel,1867,1867,,,"Alfred Nobel invents dynamite, the first safely manageable explosive stronger than black powder."
barbed wire,1867,1867,,,Lucien B. Smith invents barbed wire.
Polyvinyl chloride,1872,1872,,,"Polyvinyl chloride, more commonly known as vinyl, is synthesized by German chemist Eugen Baumann."
stainless steel,1872,1872,,,J. E. T. Woods and J. Clark invent stainless steel. Harry Brearley is the first to commercialize it.
Frederick Ransome,1873,1873,,,Frederick Ransome invents the rotary kiln.
William Crookes,1873,1873,,,"William Crookes, a chemist, invents the Crookes radiometer as the by-product of some chemical research."
Zénobe Gramme,1873,1873,,,"Zénobe Gramme invents the first commercial electrical generator, the Gramme machine."
Gustave Trouvé,1874,1874,,,Gustave Trouvé invents the first metal detector.
Ferdinand von Zeppelin,1874,1874,,,Ferdinand von Zeppelin invents the Zeppelin rigid airship.
Fyodor Pirotsky,1875,1875,,,"Fyodor Pirotsky invents the first electric tram near Saint Petersburg, Russia."
Nicolaus August Otto,1876,1876,,,Nicolaus August Otto invents the four-stroke cycle.
Alexander Graham Bell,1876,1876,,,"Alexander Graham Bell has a patent granted for the telephone. However, other inventors before Bell had worked on the development of the telephone and the invention had several pioneers."
Thomas Edison,1877,1877,,,Thomas Edison invents the first working phonograph.
Henry Fleuss,1878,1878,,,Henry Fleuss is granted a patent for the first practical rebreather.
Lester Allan Pelton,1878,1878,,,"Lester Allan Pelton invents the Pelton wheel, a type of water turbine."
Joseph Swan,1879,1879,,,"Joseph Swan and Thomas Edison both patent a functional incandescent light bulb. Some two dozen inventors had experimented with electric incandescent lighting over the first three-quarters of the 19th century but never came up with a practical design. Swan's, which he had been working on since the 1860s, had a low resistance so was only suited for small installations. Edison designed a high-resistance bulb as part of a large-scale commercial electric lighting utility."
Nikolay Benardos,1881,1881,,,"Nikolay Benardos presents carbon arc welding, the first practical arc welding method."
Hiram Maxim,1884,1884,,,"Hiram Maxim invents the recoil-operated Maxim gun, ushering in the age of semi- and fully automatic firearms."
Paul Vieille,1884,1884,,,"Paul Vieille invents Poudre B, the first smokeless powder for firearms."
Charles Parsons,1884,1884,,,Sir Charles Parsons invents the modern steam turbine.
Károly Zipernowsky,1884,1884,,,"Hungarian engineers Károly Zipernowsky, Ottó Bláthy and Miksa Déri invent the closed core high efficiency transformer and the AC parallel power distribution."
John Kemp Starley,1885,1885,,,John Kemp Starley invents the modern safety bicycle.
Carl Gassner,1886,1886,,,"Carl Gassner invents the zinc–carbon battery, the first dry cell battery, making portable electronics practical."
Charles Martin Hall,1886,1886,,,Charles Martin Hall and independently Paul Héroult invent the Hall–Héroult process for economically producing aluminum in 1886.
Karl Benz,1886,1886,,,Karl Benz invents the first petrol or gasoline powered auto-mobile (car).
Carl Josef Bayer,1887,1887,,,Carl Josef Bayer invents the Bayer process for the production of alumina.
James Blyth,1887,1887,,,James Blyth invents the first wind turbine used for generating electricity.
John Stewart MacArthur,1887,1887,,,"John Stewart MacArthur, working in collaboration with brothers Dr. Robert and Dr. William Forrest, develops the process of gold cyanidation."
John J. Loud,1888,1888,,,John J. Loud invents the ballpoint pen.
Thomas Edison,1888,1888,,,Thomas Edison and William Kennedy Dickson invent the Kinetoscope.
pneumatic tire,1888,1888,,,"The first practical pneumatic tire was made by Scotsman John Boyd Dunlop, the patent was from 1847 by Robert William Thomson"
Frédéric Swarts,1890,1890,,,s: Frédéric Swarts invents the first chlorofluorocarbons to be applied as refrigerant.
Robert Gair,1890,1890,,,Robert Gair invents the pre-cut cardboard box.
Whitcomb Judson,1891,1891,,,Whitcomb Judson invents the zipper.
Léon Bouly,1892,1892,,,Léon Bouly invents the cinematograph.
Thomas Ahearn,1892,1892,,,Thomas Ahearn invents the electric oven.
John Froelich,1892,1892,,,John Froelich invented the gas-powered tractor
Rudolf Diesel,1893,1893,,,Rudolf Diesel invents the diesel engine (although Herbert Akroyd Stuart had experimented with compression ignition before Diesel).
William Stewart Halsted,1893,1893,,,"William Stewart Halsted, invents the rubber glove for his wife Caroline Hampton as he noticed her hands were affected by the daily surgeries she had performed. The gloves were intended to prevent medical staff from developing dermatitis from surgical chemicals. The first modern disposable glove was created by Ansell Rubber Co. Pty. Ltd. in 1965."
Guglielmo Marconi,1895,1895,,,"Guglielmo Marconi invents the radio, a system of wireless communication using radio waves."
Wilhelm Conrad Röntgen,1895,1895,,,Wilhelm Conrad Röntgen invented the first radiograph (X-ray).
Surgical masks,1897,1897,"Europe, Paris",,"Surgical masks made of cloth were developed in Europe by physicians Jan Mikulicz-Radecki at the University of Breslau and Paul Berger in Paris, as a result of increasing awareness of germ theory and the importance of antiseptic procedures in medicine."
Hans von Pechmann,1898,1898,,,"Hans von Pechmann synthesizes polyethylene, now the most common plastic in the world."
Waldemar Jungner,1899,1899,,,Waldemar Jungner invents the rechargeable nickel-cadmium battery (NiCd) as well as the nickel-iron electric storage battery (NiFe) and the rechargeable alkaline silver-cadmium battery (AgCd)
vacuum cleaner,1901,1901,,,"The first motorized cleaner using suction, a powered ""vacuum cleaner"", is patented independently by Hubert Cecil Booth and David T. Kenney."
gas turbine,1903,1903,,,The first successful gas turbine is invented by Ægidius Elling.
laminated glass,1903,1903,,,Édouard Bénédictus invents laminated glass.
Fleming valve,1904,1904,,,"The Fleming valve, the first vacuum tube and diode, is invented by John Ambrose Fleming."
Leo Baekeland,1907,1907,,,"Leo Baekeland invents bakelite, the first plastic made from synthetic components."
ramjet,1907,1907,,,The tuyères thermopropulsives after 1945 (Maurice Roy (fr)) known as the statoreacteur a combustion subsonique (the ramjet) – R. Lorin
Cellophane,1908,1908,,,Cellophane is invented by Jacques E. Brandenberger.
Fritz Haber,1909,1909,,,Fritz Haber invents the Haber process.
cloud chamber,1911,1911,,,"The cloud chamber, the first particle detector, is invented by Charles Thomson Rees Wilson."
Bergius process,1913,1913,,,The Bergius process is developed by Friedrich Bergius.
Kaplan turbine,1913,1913,,,The Kaplan turbine is invented by Viktor Kaplan.
Harry Brearley,1915,1915,,,"Harry Brearley invents a process to create Martensitic stainless steel, initially labelled Rustless Steel, later marketed as Staybrite, and AISI Type 420."
tanks,1915,1915,Great Britain and France,,"The first operational military tanks are designed in Great Britain and France. They are used in battle from 1916 and 1917 respectively. The designers in Great Britain are Walter Wilson and William Tritton and in France, Eugène Brillié. (Although it is known that vehicles incorporating at least some of the features of the tank were designed in a number of countries from 1903 onward, none reached a practical form.)"
Czochralski process,1916,1916,,,"The Czochralski process, widely used for the production of single crystal silicon, is invented by Jan Czochralski."
crystal oscillator,1917,1917,,,The crystal oscillator is invented by Alexander M. Nicolson using a crystal of Rochelle Salt although his priority was disputed by Walter Guyton Cady.
Fischer–Tropsch process,1925,1925,,,The Fischer–Tropsch process is developed by Franz Fischer and Hans Tropsch at the Kaiser-Wilhelm-Institut für Kohlenforschung.
Yagi-Uda Antenna,1926,1926,,,"The Yagi-Uda Antenna or simply Yagi Antenna is invented by Shintaro Uda of Tohoku Imperial University, assisted by his colleague Hidetsugu Yagi. The Yagi Antenna was widely used during World War II. After the war they saw extensive development as home television antennas."
Robert H. Goddard,1926,1926,,,Robert H. Goddard launches the first liquid fueled rocket.
Harry Ferguson,1926,1926,,,"Harry Ferguson, patents the Three-point hitch equipment linkage system for tractors."
John Logie Baird,1926,1926,,,John Logie Baird demonstrates the world's first live working television system.
quartz clock,1927,1927,,,The quartz clock is invented by Warren Marrison and J.W. Horton at Bell Telephone Laboratories.
Penicillin,1928,1928,,,"Penicillin is first observed to exude antibiotic substances by Nobel laureate Alexander Fleming. Development of medicinal penicillin is attributed to a team of medics and scientists including Howard Walter Florey, Ernst Chain and Norman Heatley."
Frank Whittle,1928,1928,,,"Frank Whittle formally submitted his ideas for a turbo-jet engine. In October 1929, he developed his ideas further. On 16 January 1930, Whittle submitted his first patent (granted in 1932)."
Philo Farnsworth,1928,1928,,,Philo Farnsworth demonstrates the first practical electronic television to the press.
ball screw,1929,1929,,,The ball screw is invented by Rudolph G. Boehm.
Supersonic combusting ramjet,1930,1930,,,The Supersonic combusting ramjet — Frank Whittle.[citation needed]
Phase-contrast microscopy,1930,1930,,,The Phase-contrast microscopy is invented by Frits Zernike.
electron microscope,1931,1931,,,The electron microscope is invented by Ernst Ruska.
FM radio,1933,1933,,,FM radio is patented by inventor Edwin H. Armstrong.
Harry C. Jennings Sr. and Herbert Everest,1933,1933,,,"Harry C. Jennings Sr. and Herbert Everest, both mechanical engineers, invented the first lightweight, steel, folding, portable wheelchair with their ""X-brace"" design."
Nylon,1935,1935,,,"Nylon, the first fully synthetic fiber is produced by Wallace Carothers while working at DuPont."
Z1,1938,1938,,,"Z1, built by Konrad Zuse, is the first freely programmable computer in the world."
Nuclear fission,1938,1938,,,"Nuclear fission discovered in experiment by chemists Otto Hahn and Fritz Strassmann and physicists Lise Meitner and Otto Robert Frisch. The German nuclear energy project was based on this research. The Tube Alloys project and, subsequently, the Manhattan Project and the Soviet atomic bomb project were influenced by this research."
Naum Gurvich,1939,1939,,,G. S. Yunyev or Naum Gurvich invented the electric current defibrillator
John Vincent Atanasoff,1939,1939,,,John Vincent Atanasoff invented the first electronic digital computer
Pu-239 isotope,1940,1940,,,Pu-239 isotope (isotope of plutonium) a form of matter existing with the capacity for use as a destructive element (because the isotope has an exponentially increasing spontaneous fissile decay) within nuclear devices — Glenn Seaborg.
John Randall,1940,1940,,,"John Randall and Harry Boot would develop the high power, microwave generating, cavity magnetron, later applied to commercial Radar and Microwave oven appliances."
Polyester,1941,1941,,,Polyester is invented by John Rex Whinfield and James Dickson.
V-2 rocket,1942,1942,,,"The V-2 rocket, the world's first long range ballistic missile, developed by engineer Wernher von Braun."
Enrico Fermi,1942,1942,,,Enrico Fermi developed the nuclear reactor and created the first controlled nuclear chain reaction
Manhattan Project,1945,1945,,,The atomic bomb is developed by the Manhattan Project and swiftly used in August 1945 in the atomic bombings of Hiroshima and Nagasaki.
Percy Spencer,1945,1945,,,"Percy Spencer, while employed at Raytheon, would patent a magnetron based microwave oven."
Willard Libby,1945,1945,,,"Willard Libby began his work on radiocarbon dating. He published his paper in 1946, a second paper in Science in 1947. Libby and James Arnold succeeded with the radiocarbon dating theory after results were published in Science in December 1949."
James Martin,1946,1946,,,"James Martin invents the ejector seat, inspired by the death of his friend and test pilot Captain Valentine Baker in an aeroplane crash in 1942."
Holography,1947,1947,,,Holography is invented by Dennis Gabor.
Stanolind Oil and Gas Corporation,1947,1947,,,Floyd Farris and J.B. Clark (Stanolind Oil and Gas Corporation) invents hydraulic fracturing technology.
transistor,1947,1947,,,"The first transistor, a bipolar point-contact transistor, is invented by John Bardeen and Walter Brattain under the supervision of William Shockley at Bell Labs."
atomic clock,1948,1948,,,The first atomic clock is developed at the National Bureau of Standards.
Basic oxygen steelmaking,1948,1948,,,"Basic oxygen steelmaking is developed by Robert Durrer. The majority of steel manufactured in the world is produced using the basic oxygen furnace; in 2000, it accounted for 60% of global steel output."
Bertie the Brain,1950,1950,,,"Bertie the Brain, debatably the first video game, is displayed to the public at the Canadian National Exhibition."
Tokamak,1950,1950,,,The Toroidal chamber with axial magnetic fields (the Tokamak) is developed by Igor E. Tamm and Andrei D. Sakharov.
float glass process,1952,1952,,,The float glass process is developed by Alastair Pilkington.
thermonuclear weapon,1952,1952,,,The first thermonuclear weapon is developed.
video tape recorder,1953,1953,,,"The first video tape recorder, a helical scan recorder, is invented by Norikazu Sawazaki."
Calvin Souther Fuller,1954,1954,,,"Invention of the solar battery by Bell Telephone scientists, Calvin Souther Fuller, Daryl Chapin and Gerald Pearson capturing the Sun's power. First practical means of collecting energy from the Sun and turning it into a current of electricity."
hovercraft,1955,1955,,,The hovercraft is patented by Christopher Cockerell.
Jonas Salk,1955,1955,,,Jonas Salk received the license for his inactivated polio vaccine
intermodal container,1955,1955,,,The intermodal container is developed by Malcom McLean.
hard disk drive,1956,1956,,,The hard disk drive is invented by IBM.
Logic Theorist,1956,1956,,,"The Logic Theorist computer program, the first ""artificial intelligence program"", was written and invented by Allen Newell, Herbert A. Simon, and Cliff Shaw."
laser,1957,1957,,,The laser and optical amplifier are invented and named by Gordon Gould and Charles Townes. The laser and optical amplifier are foundational to powering the Internet.
personal computer,1957,1957,,,"The first personal computer used by one person and controlled by a keyboard, the IBM 610, is invented by IBM."
satellite,1957,1957,,,"The first artificial satellite, Sputnik 1, is launched."
integrated circuit,1958,1958,,,– 1959: The integrated circuit is independently invented by Jack Kilby and Robert Noyce.
MOSFET,1959,1959,,,"The MOSFET (MOS transistor) is invented by the Egyptian Mohamed Atalla and the Korean Dawon Kahng at Bell Labs. It is used in almost all modern electronic products. It was smaller, faster, more reliable and cheaper to manufacture than earlier bipolar transistors, leading to a revolution in computers, controls and communication."
laser,1960,1960,,,The first functioning laser is invented by Theodore Maiman.
robotic exoskeleton,1960,1960,,,First robotic exoskeleton
electronic cigarette,1963,1963,,,The first electronic cigarette is created by Herbert A. Gilbert. Hon Lik is often credited with its invention as he developed the modern electronic cigarette and was the first to commercialize it.
Shinkansen,1964,1964,,,"Shinkansen, the first high-speed rail commercial passenger service."
Kevlar,1965,1965,,,Kevlar is invented by Stephanie Kwolek at DuPont.
Royal Radar Establishment,1967,1967,,,E. A. Johnson of the Royal Radar Establishment developed the capacitive touch display or touchscreen
NPL network,1969,1969,,,"The NPL network followed by the ARPANET implement packet switching for data communication, drawing on the concepts and designs of Donald Davies, and Paul Baran. These are considered precursors to the modern Internet."
Public-key cryptography,1970,1970,,,"s: Public-key cryptography is invented and developed by James H. Ellis, Clifford Cocks, Malcolm J. Williamson, Whitfield Diffie, Martin Hellman, Ralph Merkle, Ron Rivest, Adi Shamir, Leonard Adleman, et al."
pocket calculator,1970,1970,,,The pocket calculator is invented.
microprocessor,1971,1971,,,"The first single-chip microprocessor, the Intel 4004, is invented. Its development was led by Federico Faggin, using his silicon-gate MOS technology. This led to the personal computer (PC) revolution."
space station,1971,1971,,,"The first space station, Salyut 1, is launched."
IBM,1971,1971,,,IBM developed and released the world's first floppy disk and disk drive.
video game console,1972,1972,,,"The first video game console, used primarily for playing video games on a TV, is the Magnavox Odyssey."
Herbert Boyer,1972,1972,,,Herbert Boyer and Stanley Cohen developed genetic modification when they successfully modified DNA
Optelecom,1973,1973,,,The first fiber optic communication systems were developed by Optelecom.
graphical user interface,1973,1973,,,The first commercial graphical user interface is introduced in 1973 on the Xerox Alto. The modern GUI is later popularized by the Xerox Star and Apple Lisa.
capacitive touchscreen,1973,1973,,,The first capacitive touchscreen is developed at CERN.
Transmission Control Program,1974,1974,,,"The Transmission Control Program is proposed by Vinton Cerf and Robert E. Kahn, building on the work of Louis Pouzin and other Internet pioneers, creating the basis for the modern Internet."
lithium-ion battery,1974,1974,,,"The lithium-ion battery is invented by M. Stanley Whittingham, and further developed in the 1980s and 1990s by John B. Goodenough, Rachid Yazami and Akira Yoshino. It has impacted modern consumer electronics and electric vehicles."
Rubik's cube,1974,1974,,,The Rubik's cube is invented by Ernő Rubik which went on to be the best selling puzzle ever.
home automation,1975,1975,,,"First general purpose home automation network technology, X10, was developed"
DNA sequencing,1977,1977,,,Dr Walter Gilbert and Frederick Sanger invented a new DNA sequencing method for which they won the Nobel Prize.
self-driving car,1977,1977,,,The first self-driving car that did not rely upon rails or wires under the road is designed by the Tsukuba Mechanical Engineering Laboratory.
Global Positioning System,1978,1978,,,"The Global Positioning System (GPS) enters service. While not the first Satellite navigation system, it is the first to enter widespread civilian use"
in vitro fertilization,1978,1978,,,"Birth of the first child through in vitro fertilization (IVF), based on the research of Patrick Steptoe and Robert Edwards"
Microvision,1979,1979,,,"The first handheld game console with interchangeable game cartridges, the Microvision is released."
Nippon Telegraph and Telephone,1979,1979,Japan,,Nippon Telegraph and Telephone (NTT) launched the first cellular network in Japan.
CompuServe,1979,1979,,,"Public dialup information, messaging and e-commerce services, were pioneered through CompuServe and RadioShack's MicroNET, and the UK's Post Office Telecommunications Prestel services."
Flash memory,1980,1980,,,Flash memory (both NOR and NAND types) was invented by Fujio Masuoka while working for Toshiba. It was introduced to the public in 1984.
Mark Skolnick,1980,1980,,,"Scientists Mark Skolnick, Ron Davis, Ray White, and David Botstein published their findings on a gene mapping tool using Restriction Fragment-length Polymorphisms (RFLP), that would have applications to identify heritable disorders, including some forms of cancer."
reusable spacecraft,1981,1981,,,"The first reusable spacecraft, the Space Shuttle undergoes test flights ahead of full operation in 1982"
Kane Kramer,1981,1981,,,"Kane Kramer develops the credit card-sized, IXI digital media player."
Televerket,1981,1981,,,"Televerket, a Swedish state-owned corporation, launched the Nordic Mobile Telephone (NMT) system."
Comvik,1981,1981,,,"Comvik, a Swedish telecommunications company, launched the first commercial automatic cellular system. However, according to the Swedish Post and Telecom Authority, the company launched an unlicensed automatic system. Comvik didn't receive a license to operate until December 1981, two months after the NMT system was launched."
CD-ROM,1982,1982,,,"A CD-ROM contains data accessible to, but not writable by, a computer for data storage and music playback. The 1985 Yellow Book standard developed by Sony and Philips adapted the format to hold any form of binary data."
satellite television,1982,1982,,,"Direct to home satellite television transmission, with the launch of Sky One service."
laptop,1982,1982,,,"The first laptop computer is launched, the 8/16-bit Epson HX-20."
Stereolithography,1983,1983,,,Stereolithography is invented by Chuck Hull.
AT&T,1983,1983,Chicago,,"Ameritech, now known as AT&T, commercialized the Bell System (its cellular network) in Chicago, Ill."
cell phone,1984,1984,,,"The first commercially available cell phone in the US, the DynaTAC 8000X, is created by Motorola."
Chuck Hull,1984,1984,,,"Chuck Hull patents the stereolithography (SLA) process, also known as 3D printing"
DNA profiling,1984,1984,,,DNA profiling is pioneered by Alec Jeffreys.
Technophone,1986,1986,,,"Technophone, a British mobile phone company, created the first pocket-sized cell phone, the Excell PCT105."
Karlheinz Brandenburg,1989,1989,,,"Karlheinz Brandenburg would publish the audio compression algorithms that would be standardised as the: MPEG-1, layer 3 (mp3), and later the MPEG-2, layer 7 Advanced Audio Compression (AAC)."
World Wide Web,1989,1989,,,The World Wide Web is invented by computer scientist Tim Berners-Lee.
Archie,1990,1990,,,"The first search engine, ""Archie"", was created by Alan Emtage, Bill Heelan, and Peter J. Deutsch at McGill University"
solid-state drive,1991,1991,,,The first commercial flash-based solid-state drive is launched by SunDisk.
sim card,1991,1991,,,The first sim card is developed by Munich smart-card maker Giesecke & Devrient
IBM Simon,1994,1994,,,"IBM Simon, the world's first smartphone, is developed by IBM. It had a touchscreen and the first built-in apps for a mobile device."
Bluetooth,1994,1994,,,First generation of Bluetooth is developed by Ericsson Mobile. A form of data communication on short distances between electronic devices
Tetris,1994,1994,,,A Tetris variant on the Hagenuk MT-2000 device becomes the first mobile game
DVD,1995,1995,,,"DVD is an optical disc storage format, invented and developed by Philips, Sony, Toshiba, and Panasonic. DVDs offer higher storage capacity than compact discs while having the same dimensions."
Ciena Corporation,1996,1996,,,"The Ciena Corporation, in partnership with Sprint, deployed the first commercial dense wavelength-division multiplexing system, which created the massive capacity of the Internet."
Nokia 9000 Communicator,1996,1996,,,"Mobile web was first commercially offered in Finland on the Nokia 9000 Communicator phone, and it was also the first phone with texting"
